ls -l
ls -la
ls -lah
ls -lahi
ls -lahiF
ls -a
ls -al
ls -alt
ls -altr
ls -altru
ls -l
ls -la
ls -lah
ls -laht
ls -lahtu
ls -l
ls -la
ls -lah
ls -laht
ls -lahtr
ls -lahtr | head -10
ls -a
ls -al
ls -alt
ls -alt -r
ls -a
ls -al
ls -alt
ls -altr
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R | grep ":$"
ls -R | grep -v ":$"
ls -R | grep -v ":$" | grep ".txt$"
ls -R | grep -v ":$" | grep ".txt$" | grep ".doc$"
ls
ls -l
ls -la
ls -lah
ls -lahS
tree
tree
tree
tree
tree
tree
tree
cat file1
more file1
less file1
head file1
tail file1
wc file1
grep file1
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -R
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -al
ls -altr
ls -altr | tail -10
ls -al
ls -alh
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -a
ls -al
ls -alS
ls -alSs
ls -al
ls -alt
ls -altr
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
ls -al
cat myfile.txt
more myfile.txt
less myfile.txt
less myfile.txt
less myfile.txt
ls
ls -l
ls -la
ls -lar
ls -lahr
ls -lahrs
ls -lahrsd
cd/
cd-
cd/usr/local/bin
cd/usr/local/bin; ls
cd/usr/local/bin; ls
cd/usr/local/bin; ls
cd/usr/local/bin; ls
cd
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd $HOME
cd/
cd
cd/home/user
cd/home/user/
cd/home/user/Desktop
cd/home/user/Desktop/
cd/home/user/Desktop/
cd/home/user/Desktop/
cd/
cd..
cd Documents
cd ~/Documents
cd /Documents
cd ../Documents
cd Downloads/Documents
cd ~/Downloads/Documents
cd
cd/home/user
cd/home/user/
cd/home/user/
cd/home/user/
cd/home/user/
cd/home/user/
cd/home/user/
cd /
cd ~
cd /var/log
cd /var/log/apache2
cd /var/log/apache2/access.log
cd /var/log/apache2/access.log/../../
cd /var/log/apache2/access.log/../../../
cd -
pwd
whoami
date
who
ls
ls -a
ls -al
ls -alh
cd /home/user/Documents
cd /home/user/Documents/School
cd /home/user/Documents/School/Classes
cd /home/user/Documents/School/Classes/CSCI
cd /home/user/Documents/School/Classes/CSCI/CSCI-1300
cd ../../
cd ../../../
cd ../../../../
cd ../../../../../
cd ../../../../../../
cd ../../../../../../../
cd ../../../../../../../../
cd ../../../../../../../../../
cd ../../../../../../../../../../
ls
ls -a
ls -al
ls -alt
ls -altr
ls -altrh
cd <directory name>
cd
cd /
cd ../<directory name>
cd ../../<directory name>
cd ../../../<directory name>
cd ../../../../<directory name>
cd ../../../../../<directory name>
cd ../../../../../../<directory name>
mkdir folder2
rmdir folder3
ls
cat file1
cp file1 file2
mv file1 file2
rm file1
chmod 777 file1
chown user1 file1
chgrp group1 file1
pwd
date
whoami
cd folder2
cd folder3
cd folder4
cd folder5
cd folder6
cd folder7
cd folder8
cd folder9
cd folder10
cd folder11
cd folder12
mkdir folder2
touch file1
cp file1 folder2
mv file1 folder2
rm file1
rmdir folder2
ls
ls -l
